ID,Item Name,Action,,
1,Global Search,"Enter a query and press Enter to navigate to results; clears by Esc; placeholder text ""Search Products"".",,
2,Cart Icon,Opens the shopping bag; shows numeric badge for count; Enter/Space activates; Esc to close if bag drawer/modal is used.,,
3,Brands Menu,Opens dropdown on click/Enter; Up/Down to move; Enter selects; Esc closes; `aria-expanded` reflects state.,,
4,Shop Menu,Same behavior as Brands; routes to selected shop category/collection.,,
5,Welcome Menu,Opens account menu; includes Sign In/Out; keyboard accessible; Esc to close.,,
6,Hamburger / Side Menu,Opens overlay side navigation; focus is trapped within; first focusable element receives focus; Esc to close.,,
7,Hero CTA - Shop Now,Navigates to Shop listing view with current defaults (Newest First; all filters cleared).,,
8,Promo Banners,Click navigates to linked promotional page or category; entire tile is a link with descriptive `aria-label`.,,
9,Product Card - View Details,Clicking product image/title opens product details page.,,
10,Product Card - Add To Cart,Adds 1 unit to bag; button label changes to feedback (e.g.," ""Added""); not available when out of stock.",
11,Product Card - Out of Stock,Button disabled and marked with `aria-disabled=true`; not focusable.,,
12,Explore Shop (Home section),Navigates to the main shop grid; preserves current sort selection.,,
13,Price Filter - Slider,Two thumbs set min/max price; keyboard: ←/→ step ±1; PgUp/PgDn ±10; Home/End to min/max; values displayed.,,
14,Rating Filter,Filters list to products with rating ≥ selected stars; radio-like behavior; Any clears filter.,,
15,Sort Dropdown,Options: Newest First; Price: Low→High; Price: High→Low; Top Rated; combobox with `aria-expanded`.,,
16,Results Summary,Displays the current range and total (e.g.," ""Showing 1–4 of 4 products"").",
17,Pagination/Load More,When present, switches pages or loads more items; maintains focus; announces updates.,
18,Product Detail - Quantity,Numeric input/combobox for quantity; min 1; max stock; keyboard accessible.,,
19,Product Detail - Add to Bag,Adds selected quantity to bag; updates bag count; live region announces item added.,,
20,Product Detail - Remove From Bag,Removes current product from the bag; only shown when item exists in bag.,,
21,Product Detail - Share Icons,Opens share target in a new tab or triggers share API when available; has descriptive labels.,,
22,Stock Indicator,Shows stock count (e.g.," ""35 items""); updates in real time after add/remove.",
23,Write Review - Rating,Star input 1–5; left/right keys change selection; state announced (e.g.," ""4 of 5 stars"").",
24,Write Review - Text,Multiline text area for review; required when publishing; character limit enforced.,,
25,Write Review - Recommend,Combobox Yes/No; defaults to Yes; Esc closes list; Enter selects.,,
26,Publish Review,Validates fields and posts review; success toast/live region message; form resets.,,
27,Newsletter - Subscribe,Validates email pattern; on success, confirmation is shown and focus returns to context.,
28,Footer Links,Navigate to Contact Us, Sell With Us, Shipping pages; standard link activation and focus.
29,Keyboard Skip Link,`Skip to content` link before the header jumps focus to main content area.,,
30,Error Handling,Errors are announced to screen readers with role=alert and are keyboard reachable.,,
